Titre original	Titre français	Réalisateur	Couleur et Format	Année et Pays	Vu ? fois et Prod.	Genre	Acteurs	Actrices	Appréciation	Scénario	D'après	Photographie	Musique	DVD
Hollywood hotel	Hollywood hôtel	BERKELEY Busby	NB / 109mn	1937 / USA	 / WR (Samuel Bischoff + Bryan Foy + Hal B. Wallis + Jack L. Warner )	com. mus.	Dick Powell, Hugh Herbert, Ted Healy, Alan Mowbray, Benny Goodman, Edgar Kennedy, Johnnie Davis, Allyn Joslyn, Grant Mitchell, Edgar Kennedy, Benny Goodman et son orch., Jerry Cooper, Fritz Feld, Curt Bois, Percy Westmore, Ken Miles, Duane Thompson, Eddie Acuff, Clinton Rosemond, William Davidson, Wally Maher, Joe Romantini, Paul Irving, Raymond Paige et son orch.	Rosemary Lane, Lola Lane, Glenda Farrell, Louella Parsons, Frances Langford, Georgia Cooper, 	Bon.	Jerry Wald + Maurice Leo + Richard Macauley	hist. de J. Wald + M. Leo	Charles Rosher + George Barnes	Leo F. Forbstein + Ray HeindorfLyr. : Johnny Mercer + Richard Whiting	
Men are such fools	Hommes sont si bêtes (Les)	BERKELEY Busby	NB	1938 / USA	 / WR	com.	Wayne Morris, Humphrey Bogart, Hugh Herbert, Johnnie Davis, Gene Lockhart, Donald Briggs, Claude Allister, Eric Stanley, James Nolan, 	Priscilla Lane, Penny Singleton, Mona Barrie, Marcia Ralston, Kathleen Lockhart, Reine Riano, Neda Harrigan, Carole Landis	"Bon. Une fantaisie sur le mariage, le travail féminin et l'ambition ; mais le scenario est sans saveur, la réalisation moyenne et le jeu des comédiens faussement enjoué. Bogart est encore en comparse moyen dans cette mouture."	Norman Reilly Raine + Horace Jackson	rom. de Faith Baldwin	Sid Hickox	Heinz Roemheld	
They made me a criminal	Je suis un criminel	BERKELEY Busby	NB	1939 / USA	 / WR (Jack L. Warner + Hal B. Wallis + Benjamin Glazer)	dr.	John Garfield (Johnnie Bradfield, aka Jack Dorney), Claude Rains (Detective Monty Phelan), Billy Halop (Tommy), Bobby Jordan (Angel), Leo Gorcey (Spit), Huntz Hall (Dippy), Gabriel Dell (T.B.), Bernard Punsly (Milt), Robert Gleckler (Doc Ward), John Ridgely (Charlie Magee, Reporter), William B. Davidson (Police Inspector Ennis), Ward Bond (fight promoter Lenihan), Robert Strange (Malvin), Louis Jean Heydt (Randy Smith), Frank Riggi (Gaspar Rutchek), Cliff Clark (Rutchek's manager), Dick Wessel (Johnnie Collucci), Raymond Brown (the Sheriff), Sam Hayes (radio ringside announcer), Jack Austin (first cop), Irving Bacon (Speed, gas station attendant), Clem Bevans (second fight ticket taker), Richard Bond (reporter at first fight), Edwin Brian (newsboy), Mushy Callahan (Schwimmer), Nat Carr (Haskell, reporter at first fight), Eddy Chandler (second detective), George Cooper (elderly lady), Hal Craig (third detective), Joe Cunningham (comumnist), John Dilson (doctor), Mike Donovan (cop), Tom Dugan (man beside Grandma at fight), John Harron (first fight radio announcer), Leyland Hodgson (Mr. Williamson), Stuart Holmes (second fight timekeeper), Arthur Housman (drunk next to Grandma), Donald Kerr (man in ring after first fight), Reid Kilpatrick (radio sports commentator), Harry Leroy (sepctator at second fight), Al Lloyd (man in front of spit), Frank Mayo (man at first fight with tophat), Sam McDaniel (Splash), Larry McGrath (second fight referee), Frank Meredith (second cop), Jack Mower (man in locker room after first fight), Jimmy O'Gatty (Rutchek's handler), Paul Panzer (Jim, assistant ticket taker), Bob Perry (Cawley, Jack's handler), Charles Randolph (first fight referee), John J. Richardson (reporter), Cyril Ring (first fight ringsider), Bert Roach (Hendricks), Dave Roberts (Police announcer), Cliff Saum (man in front of Tommy), John Sheehan (man in front of Grandma), Ronald Sinclair (J. Douglas Williamson), Charles Sullivan (second fight trainer), Elliott Sullivan (Mel, hood stealing fifty bucks), Jack Wise (second fight ticket taker)	Ann Sheridan (Goldie West), May Robson (Grandma Rafferty), Gloria Dickson (Peggy), Barbara Pepper (Budgie Massey), Doris Lloyd (Mrs. Williamson), Sally Sage (girl entering locker room), Janet Shaw (girl entering locker room), Dorothy Vernon (unknown), 	"TB.Remake de ""The life of Jimmy Nolan"" par Archie Mayo (1933), très inférieur."	Sig Herzig	pièce de Bertram Mulhouser + Beulah Marie Dix	James Wong Howe	Max Steiner	
Babes in arms	Place au rythme	BERKELEY Busby	NB	1939 / USA	2 / MGM (Arthur Freed)	com. mus.	Mickey Rooney, Charles Winninger, Guy Kibee, John Sheffield, Henry Hull, Douglas MacPhail, Rand Brooks, Barnett Parker, Joseph Crehan, George McKay, Henry Roquemore, Lon McCallister, Charles D. Brown, 	Judy Garland, Margaret Hamilton, Leni Lynn, June Preisser, Grace Hayes, Ann Shoemaker, Lelah Tyler, Patsy Moran, 	B.	Jack MacGowan + Kay Van Riper	musical de Richard Rogers et Lorenz Hart	Ray June	Rodgers et Hart + Nacio Herb Brown et Arthur Freed + Harold Arlen et E. Y. HarburgLyr. : Rodgers + Hart	
STRIKE UP THE BAND	En avant la musique	BERKELEY Busby	NB	1940 / USA										
Babes on Broadway	Débuts à Broadway	BERKELEY Busby	NB	1941 / USA	 / MGM (Arthur Freed)	com. mus.	Mickey Rooney, Ray McDonald, Alexander Woollcott, Richard Quine, Donald Meek, Louis Alberni, James Gleason, Frederick Burton, Cliff Clark, William Post Jr., Joe Yule, Carl Stockdale, Dick Baron, Will Lee, Robert Steele, Bryant Washburn, Charles Wagenheim, Lester Door, Jack Lipson, Arthur Hoyt, Roger Moore, 	Judy Garland, Fay Bainter, Virginia Weidler, Ann Rooney, Emma Dunn, Margaret O'Brien, Donna Reed, Renee Austin, Anne Rooney, Dorothy Morris, Ava Gardner, 	?	Fred Finklehoffe + Elaine Ryan	hist. de F. Finklehoffe	Lester White	Ralph Freed + E. Y. Harburg + Roger Edens + Burton Lane + Harold Rome	
For me and my gal	Pour moi et ma mie	BERKELEY Busby	NB	1942 / USA	 / MGM (Arthur Freed)	com. mus.	Gene Kelly, George Murphy, Ben Blue, Keenan Wynn, Richard Quine, Horace McNally, 	Judy Garland, Martha Eggerth, Lucile Norman, 	Bon+. Sympathiquement conventionnel, dynamique par moments et doucereux et larmoyant à d'autres, avec un Kelly au jeu déjà placé comme plus tard, tandis que Garland, à 20 ans, a des jambes charmantes.	Richard Sherman + Fred Finklehoffe + Sid Silvers		William Daniels	Chor. : Bobby Connolly	
Gang's all here (The)	Banana split	BERKELEY Busby	Coul.	1943 / USA	2 / Fox (William Le Baron)	com. mus.	Phil Baker, Edward Everett Horton, Eugene Palette, James Ellison, Benny Goodman, Tony de Marco, Dave Willock, Charles Saggau, George Dobbs, Dave Willock, Frank Faylen, Leon Belasco, Frank Faylen, Russell Hoyt, Leyland Hodgson, Lee Bennett, Frank Darien, Al Murphy, Fred Walburn, Gabriel Canzona, 	Alice Faye, Carmen Miranda, Charlotte Greenwood, Sheila Ryan, June Haver, Virginia Sale, Jeanne Crain, Lilian Yarbo, Hallene Hill, Lea Bennett, 	Bon+. Mineur, mais Miranda est tordante et pétulante.	Walter Bullock	hist. de Nancy Wintner + George Root Jr. + Tom Bridges	Edward Cronjager	Alfred NewmanLyr. : Leo Robin + Harry Warren	
Take me out to the ball game	Match d'amour	BERKELEY Busby	Coul.	1949 / USA	 / MGM (Arthut Freed)	com. mus.	Frank Sinatra, Gene Kelly, Edward Arnold, Jules Munshin, Richard Lane, Tom Dugan Murray Alper, William Graff, Mac Gray, Charles Regan, Saul Gorss, Douglas Fowley, Eddie Parkes, James Burke, 	Esther Williams, Betty Garrett, 	?	Harry Tugend + George Wells	hist. de Gene Kelly + Stanley Donen	George Folsey	Betty Comden + Adolph Green + Roger Edens	
She had to say Yes		BERKELEY Busby + AMY George J.	NB	1933 / USA	 / WR	com. dr.	Lyle Talbot, Regis Toomey, 	Loretta Young, Winnie Lightner, 	Bon+. Une comédie amère, d'un abord très cynique jusqu'à ce qu'on s'aperçoive en conclusion que le propos est beaucoup plus honorable, féministe, et dénonce le machisme ambiant d'une manière totalement inhabituelle dans le cinéma américain de l'époque du code Hays.	Rian James + Don Mullaly	"nouv. ""Customary girl"" de John Francis Larkin"	Arthur Todd		
Bienvenido, Mr. Marshall	Bienvenue Mr. Marshall	BERLANGA Luis Garcia	NB	1952 / E	 / Sonofilm-UNICI	com.	Manolo Moran, Jose Isbert, Alberto Romea, Luis Perez de Leon, Felix Fernandez, 	Lolita Sevilla, Elvira Quintilla, 	Bon+B.	Luis Garcia BERLANGA + Juan Antonio Bardem + Miguel Mihura		Manuel Berenguer	Jesus G. Leoz	
Life as we know it	Bébé mode d’emploi	BERLANTI Greg	Coul. / Panavision / 114mn	2010 / USA	 / Josephson Ent. - Gold Circle Films - Village Roadshow Pict. (Paul Brooks + Barry Josephson)	com.	Josh Duhamel, Josh Lucas, Hayes MacArthur, Britt Flatmo, Rob Huebel, DeRay Davis, Kumail Nanjiani, Andrew Daly, Bill Brochtrup, Will Sasso, 	Katherine Heigl, Alexis Clagett, Brynn Clagett, Brooke Clagett, Christina Hendricks, Sarah Burns, Jessica St. Clair, Brooke Liddell, Kiley Liddell, Melissa McCarthy, 	Bon+B-. Une comédie romantique et parentale, au sujet facile mais plutôt bien rendu par les scénaristes, tout en enfilant un bon nombre de clichés d’écriture comme de réalisation. Dans une honnête moyenne familiale.	Ian Deitchman + Kristin Rusk Robinson		Andrew Dunn	Blake Neely	
American plendor		BERMAN Shari Springer + PULCINI Robert	Coul. / Panavision / 101mn	2003 / USA	 / Good Machine (Ted Hope)	com. dr.	Paul Giamatti, Harvey Pekar, Earl Billings, James Urbaniak, Judah Friedlander, Toby Radloff, Robert Pulcini, 	Hope Davis, 	B. Intéressante variation formelle autour d'un personnage réel et son interprète. Les personnages sont déroutants dans leur réalisme clinique, et le regard qui les anime est amical et fidèle, avec une gentille ironie. Giamatti et Davis sont impressionnants, comme les autres interprètes.	Shari Springer Berman + Robert Pulcini	"B.D. ""American splendor"" de Harvey Pekar et ""Our cancer year"" de Joyce Brabner"	Terry Stacey	Mark Suozzo	
Girl most likely	Imogene	BERMAN Shari Springer + PULCINI Robert	Coul. / Panavision / 103mn	2012 / USA	 / Maven Pict. - Anonymous Content - Ambush Ent. (Mark Amin + Celine Rattray + Trudie Styler)	com.	Matt Dillon, Darren Criss, Christopher Fitzgerald, Jimmy Palumbo, Bob Balaban, Mickey Summer, Brian Petsos, Murray Bartlett, 	Kristen Wiig, Annette Bening, June Daniel Raphael, Elizabeth Ingram, Daniella Van Graas, Patricia Kalember, 	Bon+. D’entrée, l’ensemble des personnages apparaît comme vain et antipathique, un ramassis d’acteurs maniérés interprétant des personnages creux et tout aussi maniérés, et il faut beaucoup de patience pour que certains d’entre eux prennent une certaine épaisseur dans la dernière demi-heure et déclenche une relative empathie. Mais le scenario comme la réalisation sont courts en idées, la bascule finale du sujet en une pseudo-séquence policière et le happy-ending sont un triste signe d’indigence, et les comédiens sont globalement antipathiques. 	Michelle Morgan		Steve Yedlin	Rob Simonsen	
Faubourg Montmartre		BERNARD Raymond	NB	1931 / F	 / Pathé Nathan	dr.	Charles Vanel, Pierre Bertin, Antonin Artaud, André Dubosc, Robert Tourneur, Paul Azaïs, 	Gaby Morlay, Line Noro, Pauline Carton, Florelle, Ketty Pierson, Nadine Picard, Odette Barencey, Sylvette Fillacier, Julienne Paroli, Cécile Debeauvais, Mrecédès Brare, 	Bon.		rom. d'Henri Duvernois	André Roubaud		
Croix de bois (Les)		BERNARD Raymond	NB	1931 / F	 / Pathé Nathan	gu.	Pierre Blanchar, Charles Vanel, Gabriel Gabrio, Aimos, Antonin Artaud, Raymond Cordy, Jean Galland, Paul Azaïs, René Bergeron, Marcel Delaître, Pierre Labry, Geo Laby, J.-F. Martial, René Monthis, Marc Valbel, 		TB.	Raymond Bernard + André Lang	rom. de Roland Dorgelès	Jules Kruger + Ribault	divers	
Misérables (Les)		BERNARD Raymond	NB	1933 / F	 / Pathé Nathan	dr.	Harry Baur, Charles Vanel, Jean Servais, Charles Dullin, Max Dearly, Émile Genevois, Henry Krauss, Georges Mauloy, Robert Vidalin, Paul Azaïs, Pierre Piérade, Montignac, Lucien Nat, Pierre Larquey, Guy Favières, Jean D'Yd, Albert Broquin, Cailloux, Jean Marié de L'Isle, Anthony Gildès, Eugène Stuber, Louis Kerly, Lucien Blondeau, Roger Vincent, Edmond Castel, Pierre Ferval, Roland Armontel, Pierre Delbel, Delaunay, Belleville, Pierre Berlioz, 	Florelle, Marguerite Moreno, Orane Demazis, Pauline Carton, Gilberte Savary, Josselyne Gaël, Gaby Triquet, Marthe Mellot, Josseline Gaël, Denise Mellot, Ginette D'Yd, Yvonne Méa, Jacqueline Fermze, Irma Perrot, Josette France, Andrée Forine, Charlotte Barbier-Krauss, Jane Lory, Pauline Carton, 	BonB.	André Lang + Raymond Bernard	rom. de Victor Hugo	Jules Krüger	Arthur Honegger	
J'étais une aventurière		BERNARD Raymond	NB	1933 / F	 /Ciné Alliance (Georges Rabinovitch)	com.	Jean Murat, Jean Max, Jean Tissier, Félix Oudart, Guillaume de Sax, André Numès fils, Christian Argentin, Louis Vonelly, Michel François, Marcel Duhamel, 	Edwige Feuillère, Marguerite Moreno, Milly Mathis,Mona Goya, Gaby Andreu, 	B.	Herbert Juttke + Jacob (Hans Jacoby) + Jacques Companeez + Michel Duran		Michel Kelber + Philippe Agostini	Paul Misraki	
Tartarin de Tarascon		BERNARD Raymond	NB	1934 / F	 / Pathé Nathan	com.	Raimu, Fernand Charpin, Jean Sinoël, Saint-Granier, Maupi, Paul Ollivier, Jean D'Yd, Auguste Mouriès, Max Andrès, Charles Camus, Louis Kerly, Maurice de Canonge, Henri Vilbert, Charblay, Léo Courtois, Louis Kerly, Géno Ferny, 	Milly Mathis, Jenny Helia, Maximilienne, Blanche Poupon, Odette Roger, Henriette Leblond, Léo Mouriès, Madeleine Robinson, Mme Andrès, Odette Roger, Oléo, Irma Perrot, Fignolita, 	BonB.	M. Pagnol	rom. d'Alphonse Daudet	Jules Krüger + Robert Le Febvre	Darius Milhaud	
Coupable (Le)		BERNARD Raymond	NB	1936 / F	 / Filmor	dr.	Pierre Blanchar, Gabriel Signoret, Gilbert Gil, Jean Joffre, Marcel André, Henri Richard, Daniel Clérice, Albert Gercourt, Pierre Finaly, Albert Malbert, Charles Fallot, Ernest Ferny, Henri Echourin, Paul Escoffier, André Dionnet, Lucien Coëdel, 	Junie Astor, Madeleine Ozeray, Suzet Maïs, Marguerite Moréno, Palmyre Levasseur, Marthe Mellotn, Odette Barencey, Paula Valmond, Claire Gérard, Evelyne Nattier, Vyola Vareyne, Paméla Stirling, 	B.	Bernard Zimmer	rom. de François Coppée	Robert Le Febvre	Jacques Ibert	
Marthe Richard au service de la France		BERNARD Raymond	NB	1937 / F	 / Paris Films	esp.	Eric Von Stroheim, Jean Galland, Noël Roquevert, Marcel André, Marcel Dalio, Fernad Bercher, René Bergeron, Christian Agentin, Georges Saillard, Jacques Henley, Pierre Juvenet, Lucien Blondeau, Jacques Berlioz, Jean Joffre, Fichel, Ernest Ferny, Noël Roquevert, Marcel Devienne, 	Edwige Feuillère, Délia Col, Marthe Mellot, Liliane Lesaffre, 	Bon.	Bernard Zimmer	mémoires du commandant Ladoux	Robert Le Febvre + Charles Bauer	Arthur Honegger	
Cavalcade d'amour		BERNARD Raymond	NB	1939 / F	 / C.I.P.R.A.	com. dr.	Claude Dauphin, Michel Simon, Saturnin Fabre, Dorville, Pierre Labry, Trubsky, Henry Richard, Alfred Argus, Christian Argentin, Henri Monteux, Hubert Daix, Claude Lehmann, Léon Larive, Alfred Baillou, Charles Vissières, Marcel Melrac, Jacques Castelot, 	Janie Darcey, Simone Simon, Blanchette Brunoy, Corinne Luchaire, Milly Mathis, Maximilienne, Jane Loury, Yvonne Yma, Jane Marny, Primeose Perret, Jane Pierson, 	BonB.	Jean Anouilh + Jean Aurenche		Robert Le Febvre	Arthur Honegger + Darius Milhaud + Roger Désormières	
Ami viendra ce soir (Un)		BERNARD Raymond	NB	1939 / F	 / Francinex - CGC - Prod. Jacques Roitfeld. (Constantin Geftman)	dr. gu.	Michel Simon, Paul Bernard, Louis Salou, Saturnin Fabre, Marcel André, Jacques Clancy, Daniel Gélin, Claude Lehmann, Howard Vernon, Raoul Marco, Pierre Sergéol, Georges Brisset, Claude Vernier, Gregori Chmara, Paul Darcy, Jo Dest, Palmyre Levasseur, Fernand Liesse, Darling Légitimus, Maurice Schutz	Madeleine Sologne, Lily Mounet, Yvette Andréyor, Cécilia Paroldi, Jane Marny, Odette Barencey, Maria Mauban, 	"BonB. Un pavé qui a très mal vieilli, dans l’écriture comme dans la mise en scène. Le sujet est intéressant et noble, mais traité avec une emphase ridicule, qui ne prend de la matière que quand les “dingues” géniaux du cinéma français se mettent en branle : Simon, Fabre et Salou. Le reste n’est que platitude et convention très datées, où Sologne et Bernard sont les symboles d’un pathos qui avait peut-être du sens dans le contexte de la Libération, mais n’est plus qu’épuisant et ridicule.Asstt réal. : Guy Lefranc"	Jacques COMPANEEZ	rom. de Yvan NOÉ et Jacques COMPANEEZ	Robert Le Febvre	Arthur Honegger	
AFFAIRE DOMINICI (L')		BERNARD-AUBERT Claude	NB	1972 / F 			Jean GABIN, Victor LANOUX, Gérard DEPARDIEU							
Three troubledoers (The)		BERNDS Edward	NB / 16mn	1945 / USA	 / COL (Hugh McCollum)	com. western	3 Stooges (Curly, Larry & Moe), Dick Curtis, Hank Bell, SteveClark, Budd Fine, Joe Garcia, Victor Travers, 	Christine McIntyre, 	Bon+. La mise en scène choisit un angle parodique amusant, qui évoque les feuilletons du Boulevard du Crime et le muet, avec le méchant très méchant et l'héroïne effarée. L'effet comique est réussi et le film se regarde avec un petit plaisir, sans l'agacement habituel que produisent les bêtises des autres moutures du trio.	Jack White		George Kelley		
Gold raiders		BERNDS Edward	NB / 56mn	1951 / USA	 / COL / Bernard Glasser Prod. (Jack Schwarz + Bernard Glasser)	western com.	George O'Brien, 3 Stooges (Moe, Larry & Shemp), Clem Bevans, Lyle Talbot, Monte Blue, Fuzzy Knight, Hugh Hooker, Remy Paquet, Andre Adoree, Roy Canada, Bill Ward, 	Sheila Ryan, 	Bon-. Une série B pitoyable, avec un O'Brien vieillissant, dans son dernier rôle, des Stooges stoogesques, un scenario sans aucune idée, des décors naturels de collines rocheuses vus dans tous les produits du même tonneau (Iverson ranch ?), et une réalisation inexistante. Triste évolution du genre.	Elwood Ullman + William Lively		Paul Ivano	Alex Alexander + June Starr	
Tooth will out (The)		BERNDS Edward	NB / 16mn	1951 / USA	 / COL (Hugh McCollum)	com. western	3 Stooges (Moe, Larry & Shemp), Vernon Dent, Dick Curtis, Slim Gaut, 	Margie Liszt, 	"Bon. Comédie pitoyable et si peu westernienne du trio pitoyable... quelques petites idées feront sourire le dentiste de passage : le débouche-évier comme masque à chloroforme (étonnant d'ailleurs qu'ils n'aient pas placé un gag avec le gaz hilarant comme dans ???), le dentier mordeur, le sadisme de la scène de ""roulette"" ; mais le reste est sans invention."	Edward Bernds		Fayte M. Browne		
White lightning		BERNDS Edward	NB	1953 / USA	 / Allied Artists(Ben Schwalb)	com. dr.	Stanley Clements, Steve Brodie, Lyle Talbot, Frank Jenks, Paul Bryar, Lee Van Cleef, Myron Healy, Riley Hill, Tom Hanlon, John Bleifer, Duncan Richardson, Joel Marston, 	Gloria Blondell, Barbara Bestar, 	Bon-. On ne peut même pas dire que c'est mauvais, juste inexistant : le hockey comme l'intrigue se regardent comme au magnétoscope, en accéléré...	Charles M. Marion		Lester White	Marlin Skiles	
Storm rider (The)		BERNDS Edward	NB / Regazlscope / 72mn	1956 / USA	 / Regal Prod. (Bernard Glasser)	western	Scott Brady, Bill Williams, John Goddard, William Fawcett, Roy Engel, George Keymas, Olin Howlin, Bud Osborne, James Dobson, Rocky Lundy, Hank Patterson, Wayne Mallory, 	Mala Powers, 	Bon+. Une série aux décors pauvres qui reprend tous les clichés du manuel en les respectant suffisamment pour que le brouet soit supportable, avec les zestes q.s.p. d'action, de moral et de psychologie. Brady et Keymas (en tueur) sont suffisamment solides pour stimuler l'intérêt.	Edward Bernds + Don Martin	"rom. ""Long rider Jones"" de L. L. Foreman"	Brydon Baker	Les Baxter	
